change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,rpt_earnings,up_or_down,up_yesterday,up_last3,up_last10,low_to_open,low_to_close,hi_to_open,hi_to_close,hi_to_low
-0.17,-0.014307613694430165,-0.176,96.45,2018-09-06,96.72,"Sep 6, 18",96.01,96.53,6150827,6150827,96.4507,2018,9,36,6,3,249,False,False,False,False,False,False,1536192000,0,0,1,0.3333333333333333,0.3,0.9946130736558583,0.9954380508035252,1.0019683000103594,1.0027993779160187,1.0073950630142692
-0.62,-0.02064384261624932,-0.643,95.83,2018-09-07,96.4801,"Sep 7, 18",95.64,95.8,6672449,6672449,96.0139,2018,9,36,7,4,250,False,False,False,False,False,False,1536278400,0,1,0,0.3333333333333333,0.3,0.998329853862213,0.9980173223416466,1.007099164926931,1.0067838881352393,1.0087839815976578
1.07,-0.009708737864077555,1.117,96.9,2018-09-10,97.19,"Sep 10, 18",96.09,96.11,8332399,8332399,96.847,2018,9,37,10,0,253,False,False,False,False,False,False,1536537600,0,1,1,0.6666666666666666,0.4,0.9997919051087296,0.991640866873065,1.0112371241286027,1.0029927760577915,1.0114476012072016
-0.26,-0.012365866121614654,-0.268,96.64,2018-09-11,97.66,"Sep 11, 18",96.49,97.27,6463535,6463535,96.8914,2018,9,37,11,1,254,False,False,False,False,False,False,1536624000,0,0,1,0.6666666666666666,0.5,0.9919810835817826,0.9984478476821191,1.0040094582091086,1.0105546357615893,1.0121256088713857
-0.67,-0.01921308124680629,-0.693,95.97,2018-09-12,96.74,"Sep 12, 18",95.93,96.26,5900027,5900027,96.1778,2018,9,37,12,2,255,False,False,False,False,False,False,1536710400,0,0,0,0.6666666666666666,0.5,0.9965717847496364,0.9995832030842973,1.0049864949096197,1.0080233406272794,1.0084436568331074
-0.85,-0.027899846704138885,-0.886,95.12,2018-09-13,95.6199,"Sep 13, 18",94.91,95.32,7652921,7652921,95.209,2018,9,37,13,3,256,False,False,False,False,False,False,1536796800,0,0,0,0.3333333333333333,0.4,0.9956986991187579,0.9977922624053825,1.0031462442299623,1.0052554667788056,1.0074797176272259
-0.53,-0.03331630045988749,-0.557,94.59,2018-09-14,94.84,"Sep 14, 18",94.35,94.53,6319383,6319383,94.5714,2018,9,37,14,4,257,False,False,False,False,False,False,1536883200,0,1,0,0.0,0.4,0.998095842589654,0.9974627339042181,1.003279382206707,1.0026429855164394,1.0051934287228406
0.23,-0.030965763924374057,0.243,94.82,2018-09-17,95.48,"Sep 17, 18",94.3733,94.75,5329819,5329819,94.9196,2018,9,38,17,0,260,False,False,False,False,False,False,1537142400,0,1,1,0.3333333333333333,0.4,0.9960242744063325,0.9952889685720313,1.0077044854881267,1.0069605568445477,1.0117268337548861
0.61,-0.024731732243229308,0.643,95.43,2018-09-18,95.59,"Sep 18, 18",94.15,94.46,6760152,6760152,95.1809,2018,9,38,18,1,261,False,False,False,False,False,False,1537228800,0,1,1,0.6666666666666666,0.5,0.996718187592632,0.9865870271403122,1.011962735549439,1.0016766216074608,1.015294742432289
-0.19,-0.026673479816044964,-0.199,95.24,2018-09-19,95.8925,"Sep 19, 18",94.88,95.57,5675135,5675135,95.4638,2018,9,38,19,2,262,False,False,False,False,False,False,1537315200,0,0,1,1.0,0.6,0.9927801611384326,0.996220075598488,1.0033744899026893,1.0068511129777404,1.0106713743676223
0.51,-0.021461420541645317,0.535,95.75,2018-09-20,95.79,"Sep 20, 18",94.95,95.35,5552332,5552332,95.5349,2018,9,38,20,3,263,False,False,False,False,False,False,1537401600,0,1,0,0.6666666666666666,0.5,0.9958049292081804,0.991644908616188,1.0046145778710016,1.0004177545691906,1.0088467614533965
0.15,-0.019928461931527735,0.157,95.9,2018-09-21,96.29,"Sep 21, 18",95.63,95.92,9530133,9530133,95.9069,2018,9,38,21,4,264,False,False,False,False,False,False,1537488000,0,0,1,0.6666666666666666,0.6,0.996976647206005,0.9971845672575599,1.0038573811509592,1.0040667361835245,1.0069015999163444
-0.98,-0.02994379151762895,-1.022,94.92,2018-09-24,96.0,"Sep 24, 18",94.86,95.44,5336981,5336981,95.2049,2018,9,39,24,0,267,False,False,False,False,False,False,1537747200,0,0,0,0.3333333333333333,0.5,0.9939228834870075,0.9993678887484198,1.0058675607711651,1.011378002528445,1.0120177103099304
0.18,-0.028104241185487995,0.19,95.1,2018-09-25,96.52,"Sep 25, 18",94.99,95.99,6193224,6193224,95.5589,2018,9,39,25,1,268,False,False,False,False,False,False,1537833600,0,0,0,0.3333333333333333,0.4,0.989582248150849,0.9988433228180862,1.0055214084800501,1.014931650893796,1.016106958627224
-0.51,-0.03331630045988749,-0.536,94.59,2018-09-26,95.585,"Sep 26, 18",94.52,95.1,5918606,5918606,95.0174,2018,9,39,26,2,269,False,False,False,False,False,False,1537920000,0,0,0,0.0,0.4,0.9939011566771819,0.9992599640553969,1.005099894847529,1.0105190823554286,1.011267456622937
-0.46,-0.03801737353091465,-0.486,94.13,2018-09-27,94.96,"Sep 27, 18",93.82,94.19,5363446,5363446,94.3942,2018,9,39,27,3,270,False,False,False,False,False,False,1538006400,0,0,0,0.0,0.4,0.9960717698269455,0.9967066822479549,1.0081749654952754,1.0088175926909593,1.0121509273076104
-0.22,-0.04026571282575368,-0.234,93.91,2018-09-28,94.37,"Sep 28, 18",93.69,94.28,6306274,6306274,93.9552,2018,9,39,28,4,271,False,False,False,False,False,False,1538092800,0,0,0,0.0,0.4,0.9937420449724226,0.9976573314875945,1.0009546033092915,1.0048983068895752,1.0072579784395348
0.49,-0.035258048032703,0.522,94.4,2018-10-01,94.66,"Oct 1, 18",94.04,94.29,4995466,4995466,94.3507,2018,10,40,1,0,274,False,True,False,True,False,False,1538352000,0,1,0,0.0,0.3,0.9973486053664228,0.9961864406779661,1.0039240640576943,1.0027542372881355,1.0065929391748192
0.75,-0.02759325498211537,0.794,95.15,2018-10-02,95.61,"Oct 2, 18",93.85,93.93,7754550,7754550,95.1725,2018,10,40,2,1,275,False,False,False,False,False,False,1538438400,0,1,1,0.3333333333333333,0.3,0.9991483019269668,0.9863373620599053,1.0178856595336951,1.004834471886495,1.0187533297815663
